"t","S","N"
816,731249.6724201731,10
817,731383.9755061142,11
818,731515.922397565,10
819,731619.5949551335,8
820,731716.9843273947,8
821,731768.0352080155,7
822,731820.6568849632,7
823,731885.0595343617,8
824,731962.8139525381,9
825,732055.490935819,10
826,732134.8161503221,9
827,732221.9953464591,9
828,732324.0971077009,10
829,732442.6922303739,11
830,732562.0727512104,10
831,732653.9643363279,9
832,732760.7784865499,10
833,732858.9532569746,9
834,732972.0505925036,10
835,733101.6412894643,11
836,733249.2961441831,12
837,733416.5859529866,13
838,733591.7297434243,13
839,733742.5261907966,12
840,733912.9575922539,13
841,734062.1832432995,12
842,734200.4133200572,10
843,734322.1500353838,9
844,734442.3159543835,9
845,734554.6278917494,9
846,734659.0858474813,9
847,734717.2053115726,8
848,734786.3203499516,8
849,734868.7871571084,9
850,734966.1765293697,10
851,735074.5614759184,10
852,735199.4397838988,11
853,735342.382249637,12
854,735497.8910859895,12
855,735640.833551728,12
856,735762.5702670547,11
857,735864.6720282963,10
858,735983.2671509694,11
859,736094.7936901719,10
860,736222.8135908055,11
861,736338.267120825,11
862,736456.0768453347,10
863,736590.3799312757,11
864,736742.7471749746,12
865,736893.5436223471,12
866,737063.9750238042,13
867,737216.3422675033,12
868,737348.2891589543,10
869,737496.7294118364,11
870,737663.2338224765,12
871,737833.6652239339,11
872,738022.1607831492,12
873,738230.2912964495,13
874,738418.0014575016,11
875,738615.1363965144,11
876,738830.3354932851,12
877,739023.5434414808,12
878,739177.481481507,12
879,739321.994743572,12
880,739486.142959722,13
881,739664.4283428132,13
882,739779.8818728327,9
883,739864.7048744797,8
884,739962.8796449043,9
885,740063.4106098191,8
886,740130.9548518714,6
887,740204.7822792307,6
888,740262.901743322,6
889,740331.2313835376,7
890,740408.985801714,7
891,740476.5300437663,6
892,740554.2844619425,7
893,740622.614102158,7
894,740702.7247148246,8
895,740789.1185127982,8
896,740873.9415144452,8
897,740972.1162848698,9
898,741046.7291103926,9
899,741136.26450102,10
900,741236.7954659348,10
901,741342.0388198299,10
902,741432.3596086209,9
903,741488.122878222,7
904,741517.9680084313,6
905,741549.3839349672,6
906,741591.0100376272,7
907,741637.3485292676,7
908,741695.4679933592,8
909,741758.299846431,8
910,741834.4834682804,9
911,741915.3794791104,9
912,742011.198055045,10
913,742114.8706126135,10
914,742216.1869756915,9
915,742332.4259038746,10
916,742461.2312026718,10
917,742599.4612794295,10
918,742754.1847176189,11
919,742926.9723135664,12
920,743090.335131553,12
921,743203.4324670824,10
922,743333.023164043,11
923,743444.5497032453,8
924,743532.5142975459,8
925,743620.4788918464,8
926,743721.7952549247,9
927,743800.3350712644,8
928,743886.728869238,8
929,743980.9766488458,8
930,744068.9412431463,8
931,744170.2576062245,9
932,744286.4965344074,10
933,744415.3018332046,10
934,744553.5319099625,10
935,744671.3416344721,10
936,744783.6535718378,9
937,744898.3217036938,8
938,744987.0716961578,7
939,745069.5385033146,7
940,745163.7862829223,8
941,745252.5362753861,7
942,745324.0075082553,7
943,745407.2597135755,8
944,745501.5074931831,8
945,745598.8968654444,8
946,745699.4278303592,8
947,745813.3105640517,9
948,745930.3348903981,9
949,746055.2131983782,9
950,746100.7662918551,6
951,746156.5295614564,7
952,746224.0738035087,8
953,746304.9698143386,9
954,746400.788390273,10
955,746482.4697992664,8
956,746546.0870505016,7
957,746612.8458943906,7
958,746691.3857107302,8
959,746777.7795087039,8
960,746877.5250754553,9
961,746969.4166605729,9
962,747076.2308107949,10
963,747189.328146324,10
964,747316.5626487945,10
965,747423.3767990166,10
966,747536.4741345457,10
967,747666.0648315061,11
968,747813.7196862252,12
969,747951.9497629828,10
970,748093.3214323943,10
971,748251.1864632374,11
972,748427.1156518382,12
973,748559.8479414524,11
974,748710.6443888247,12
975,748877.1487994652,12
976,748958.044810295,9
977,749053.8633862295,10
978,749166.1753235955,11
979,749289.4828352487,11
980,749383.7306148565,10
