"t","S, м²","N активних","T життя, с"
540,0.06801940794103606,13,1.5
541,0.06804587585914257,13,7
542,0.06807297209577974,13,11.5
543,0.06809347098784442,11,7.5
544,0.06811577629568491,12,0.5
545,0.0681398094794849,12,11.5
546,0.06816109376971295,11,19.5
547,0.06818418447571685,12,0.5
548,0.06820900305768023,12,14.5
549,0.06823578513505206,13,16.5
550,0.06826468778746508,14,4
551,0.06829586809455195,15,1
552,0.06832037251724998,14,0.5
553,0.06834652627609109,13,6.5
554,0.06837480060997339,14,4
555,0.06840307494385571,14,5.5
556,0.06843362693241188,15,9
557,0.06846661365527457,16,2.5
558,0.0684953592280549,14,8
559,0.06852638245550913,15,5.5
560,0.06855363577177902,15,0.5
561,0.06858308820290641,15,9
562,0.0686067286876247,13,12
563,0.0686324897473841,14,0.5
564,0.06865455943577559,13,6
565,0.06867505832784027,13,14.5
566,0.06869375080412911,12,14
567,0.06871440677582645,13,12.5
568,0.06873349195119702,13,3.5
569,0.06875469770160875,14,2.5
570,0.06877637469091849,14,9
571,0.06880032933490213,15,3.5
572,0.06882671871319229,16,2
573,0.06885569990542165,17,1.5
574,0.0688810682660994,15,5.5
575,0.06890769326383855,15,0.5
576,0.06893329724396534,12,16.5
577,0.06895623087033656,12,3.5
578,0.06897994989487116,12,2
579,0.06900272644160968,12,4.5
580,0.06902746648375672,13,9
581,0.0690543271009449,14,8
582,0.06907749634676513,13,6.5
583,0.06910278616762654,14,13
584,0.06912917554591667,14,4
585,0.06914983151761404,13,3.5
586,0.06916875961335192,13,1.5
587,0.06918980828413097,14,7
588,0.06920873637986884,13,0.5
589,0.06922899965248451,12,11.5
590,0.06925122642050864,13,10
591,0.06927557376357397,14,1
592,0.06929567995655694,12,5
593,0.06931735694586673,12,2
594,0.06933188681188958,11,5.5
595,0.06934610251864705,11,4.5
596,0.06936212464118038,12,1.5
597,0.06937681158683588,11,6
598,0.06939039897506268,11,3
599,0.06940524300035089,11,7.5
600,0.06942189344141492,12,1.5
601,0.0694382297232136,12,2.5
602,0.0694548801642776,12,8
603,0.06947294432203575,12,0.5
604,0.06949022308163048,10,9.5
605,0.06950734476159254,10,2.5
606,0.06952525183971803,10,7
607,0.06954480825398661,11,2.5
608,0.06956617108403104,12,4
609,0.06957810913611467,10,10.5
610,0.06958761245389179,9,13.5
611,0.06959860802817934,10,14.5
612,0.06960669762926235,9,14
613,0.0696162794868558,10,9.5
614,0.06962507594628584,10,16.5
615,0.06963552174185904,11,0.5
616,0.06964620315688125,10,5
617,0.06965853390804658,11,7.5
618,0.06967007926104851,11,6
619,0.06968343102982626,12,7.5
620,0.06969646863933868,12,3.5
621,0.06971146974425955,13,6.5
622,0.06972859142422162,14,2.5
623,0.0697449277060203,14,7
624,0.06976354164249281,15,4.5
625,0.06978459031327186,16,3
626,0.06980658146184698,16,7
627,0.06982912238913651,15,1
628,0.06985409805073255,16,10
629,0.06988127282718609,16,6
630,0.06990569871006778,15,10
631,0.06993153830964352,15,3
632,0.06995431485638207,14,0.5
633,0.06997764118183496,13,4.5
634,0.06999853277298133,12,6.5
635,0.0700213878595362,13,7
636,0.07004636352113222,14,9.5
637,0.07006599847521718,12,5
638,0.07008759692471057,13,4.5
639,0.0701113159492452,14,1
640,0.0701259243550844,12,7
641,0.07014014006184188,11,4
642,0.07015466992786473,11,9
643,0.07017100620966338,12,5.5
644,0.07018930598687055,13,2.5
645,0.07020972633911889,14,4.5
646,0.07023242434604107,15,7.5
647,0.07024703275188027,12,10.5
648,0.07026038452065801,12,6
649,0.07027122301531291,10,19.5
650,0.07028049071364098,10,7.5
651,0.07029140774811221,11,1.5
652,0.07030413119835925,12,13.5
653,0.07031881814401479,13,1
654,0.07032949955903699,10,2
655,0.07033837455828336,9,9.5
656,0.07034874181404022,10,1.5
657,0.07036075840594018,11,6.5
658,0.07037387455526893,11,12.5
659,0.07038824734165912,11,3
660,0.07039955707521203,10,5
661,0.07041008141060158,10,2.5
662,0.07042225508213422,11,0.5
663,0.0704359995499937,11,0.5
664,0.07045131481417995,11,9
665,0.07046498074222304,10,2.5
666,0.07047943206842958,10,4.5
667,0.07049553273077921,11,5
668,0.07051006259680208,11,16.5
669,0.07052639887860075,12,9
670,0.07054006480664386,10,4
671,0.0705553800708301,11,6
672,0.07057250175079219,12,7
673,0.07059158692616273,13,5.5
674,0.07060972962373721,13,2
675,0.07062850063984243,13,1.5
676,0.07064939223098878,14,13.5
677,0.07067091214066587,14,2
678,0.0706921178910776,12,2.5
679,0.07071096744699913,12,9
680,0.07073178049832918,13,2.5
681,0.07075400726635331,13,3.5
682,0.07077544863621409,13,2
683,0.07079217761709446,11,1.5
684,0.0708089065979748,11,4
685,0.07082657805665128,11,4.5
686,0.07084252163936823,9,18.5
687,0.0708570515053911,9,2.5
688,0.07086569088518847,8,5
689,0.0708756654418636,9,16.5
690,0.07088713225504922,10,2.5
691,0.07090024840437796,11,3.5
692,0.07091297185462501,10,6
693,0.07092734464101517,11,3
694,0.0709420315866707,11,12
695,0.07095766101012232,11,10
696,0.07097509684934974,12,0.5
697,0.07099135459133207,11,2
698,0.07100659131570197,10,4
699,0.07102245635860262,10,5.5
700,0.07103997073764637,11,7
701,0.07105332250642413,10,4.5
702,0.07106832361134502,11,1
703,0.07108081144214304,11,6.5
704,0.07109274949422667,10,1.5
705,0.07110633688245346,11,5.5
706,0.07112039550957829,11,1
707,0.07113571077376453,11,1
708,0.07115243975464486,11,8.5
709,0.07117058245221936,11,18.5
710,0.07118723289328335,10,2
711,0.07120553267049054,11,5.5
712,0.07122563886347352,12,10
713,0.07124770855186496,13,10
714,0.07126891430227672,12,0.5
715,0.07128862779617799,11,3
716,0.07130622071503806,10,1.5
717,0.07132546297004133,11,8
718,0.07134266318981972,11,2
719,0.07136112004665958,11,5
720,0.07138138331927522,12,5
721,0.07140258906968694,12,14
722,0.07141798287368953,10,1.5
723,0.0714291355276098,10,7.5
724,0.07144193751767317,11,5
725,0.07145324725122609,10,5.5
726,0.07146620632092215,11,1.5
727,0.07148097180639403,12,13.5
728,0.07149770078727438,13,2
729,0.07151435122833842,12,12
730,0.0715313158286678,12,10
731,0.07155024392440568,13,0.5
