t,S′ [м²],N активних,T життя [с]
821,0.000259118562068,69,78
822,0.000257076526843,68,29
823,0.000248782722237,67,26
824,0.00024677210294,67,58
825,0.000251013253022,67,42
826,0.000247054846278,68,73
827,0.000249882279666,68,72
828,0.000254186261602,68,13
829,0.000251735819332,69,10
830,0.000240331837999,69,62
831,0.000240645997266,68,39
832,0.000242530952857,68,12
833,0.000234457059737,68,52
834,0.000236216351623,67,65
835,0.000240457501706,67,12
836,0.000228048210724,68,63
837,0.000232289360806,67,12
838,0.000235933608284,68,61
839,0.000228645113329,68,19
840,0.000232100865247,68,3
841,0.000225377856969,68,58
842,0.000224718122511,68,23
843,0.00022817387443,67,43
844,0.000232415024513,67,11
845,0.000233671661574,68,35
846,0.000237190245346,68,53
847,0.000231566794496,68,14
848,0.000221545113931,67,51
849,0.000225597768454,64,20
850,0.000227859715165,65,49
851,0.000231880953761,65,1
852,0.000235996440137,65,47
853,0.000234017236766,66,8
854,0.000229619007051,65,45
855,0.000233608829721,63,44
856,0.000237661484244,64,43
857,0.000240551749485,65,35
858,0.000244667235861,65,41
859,0.000237253077199,66,40
860,0.000239986262808,66,39
861,0.000244101749184,65,38
862,0.000243033607682,66,18
863,0.000239452192056,66,18
864,0.000229870334463,66,35
865,0.000214193787121,65,34
866,0.000211837592632,64,21
867,0.000215827415301,63,32
868,0.000218592016837,64,31
869,0.000214225203048,64,30
870,0.000195375647127,63,20
871,0.000199239806091,61,25
872,0.000203166796908,62,27
873,0.000207156619578,63,26
874,0.000211209274101,64,25
875,0.000215324760477,65,24
876,0.000219503078706,66,23
877,0.000223744228789,67,22
878,0.000228048210724,68,21
879,0.000229022104446,69,20
880,0.000227419892194,68,19
881,0.000227985378871,67,18
882,0.000232226528954,67,17
883,0.000231284051157,68,16
884,0.000227734051459,68,15
885,0.00021856060091,67,14
886,0.000221325202446,65,13
887,0.000219440246853,65,12
888,0.00022355573323,65,11
889,0.000226445998471,66,10
890,0.0002306243167,66,9
891,0.000220319892796,67,8
892,0.000224435379173,65,7
893,0.000228613697402,66,6
894,0.000232854847484,67,5
895,0.000235556617166,68,4
896,0.000239860599102,68,3
897,0.00024422741289,69,2
898,,70,1
