"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
205,0.17168462841803142,51,18,0.000013741326266801756
206,0.17273960242551828,52,39,0.000013741326266801756
207,0.17365607460848267,52,6.5,0.000013741326266801756
208,0.17460024209053343,53,13,0.000013741326266801756
209,0.17557284707293486,54,73.5,0.000013741326266801756
210,0.17648116328867142,54,68.5,0.000013741326266801756
211,0.17740145721909897,53,18,0.000013741326266801756
212,0.17833348853237926,54,54,0.000013741326266801756
213,0.17929195664236394,54,59.5,0.000014918539938964106
214,0.18027458811589414,53,105.5,0.000014918539938964106
215,0.18128410524117894,54,15,0.000014918539938964106
216,0.1823124250930198,54,82,0.000014918539938964106
217,0.18322510262475775,54,56.5,0.000014918539938964106
218,0.18416017431250337,52,64.5,0.000014918539938964106
219,0.18512246564257265,53,48,0.000014918539938964106
220,0.18608957008893676,52,3,0.000014918539938964106
221,0.18708602388291934,53,14,0.000016161138008229292
222,0.1880962328458113,52,42.5,0.000016161138008229292
223,0.18912933429984574,50,71,0.000016161138008229292
224,0.19018532353263354,50,28,0.000016161138008229292
225,0.19126561308277162,51,69.5,0.000016161138008229292
226,0.19237487528393413,51,77,0.000017470887620464963
227,0.19337745047120222,49,16.5,0.000017470887620464963
228,0.1943777716639161,47,76.5,0.000018849555921538758
229,0.1953924273548598,47,22,0.000018849555921538758
230,0.19641791564997202,47,23,0.000018849555921538758
231,0.19734508937378653,44,24.5,0.000018849555921538758
232,0.19823395108066624,45,31,0.000018849555921538758
233,0.19914901661551992,46,57.5,0.000018849555921538758
234,0.20003643662589596,45,3,0.000020298910057318324
235,0.20087484690730295,42,29,0.000020298910057318324
236,0.20160809345455358,37,35.5,0.000020298910057318324
237,0.20232026796542982,37,15.5,0.000020298910057318324
238,0.20305266068670197,38,31,0.000020298910057318324
239,0.20380582856384283,39,7,0.000021820717173671305
240,0.20458031587777967,40,80.5,0.000021820717173671305
241,0.20537152746020776,40,9.5,0.000023416744416465347
242,0.20613223427614433,39,22,0.000023416744416465347
243,0.20687686389350135,40,61,0.00002508875893156809
244,0.2072891351956067,39,33.5,0.00002508875893156809
245,0.2076971406075876,38,27.5,0.00002508875893156809
246,0.2080821725342405,37,59.5,0.00002508875893156809
247,0.2084649884599753,38,36.5,0.00002508875893156809
248,0.20882206060471037,38,57,0.00002508875893156809
249,0.20919474783938047,39,41,0.00002508875893156809
250,0.20958200342458339,39,54.5,0.00002508875893156809
251,0.2099833004563264,38,43,0.00002508875893156809
252,0.21039951602800838,39,59.5,0.00002508875893156809
253,0.21081713000112023,37,30,0.00002683852786484718
254,0.21125142642027134,38,41.5,0.00002683852786484718
255,0.21170293542922186,39,59,0.00002683852786484718
256,0.21214749160275614,37,14,0.00002683852786484718
257,0.2125778081148889,37,33.5,0.000028667818362170258
258,0.21299454617269903,38,64,0.000028667818362170258
259,0.21340349317890306,38,31,0.000028667818362170258
260,0.21380430630720265,39,42.5,0.000028667818362170258
261,0.2142212782173159,39,42.5,0.000028667818362170258
262,0.21465530013980888,40,100,0.000028667818362170258
263,0.21510347896237186,40,34,0.000028667818362170258
264,0.2155660514825511,41,4,0.000028667818362170258
265,0.2159967069921661,40,36.5,0.00003057839756940498
266,0.2164167666951588,39,65,0.00003057839756940498
267,0.21681710799551174,38,83.5,0.00003057839756940498
268,0.21598626257103976,37,34.5,0.00003057839756940498
269,0.2164845332048913,41,39.5,0.00003057839756940498
270,0.21697827464388408,40,52.5,0.00003057839756940498
271,0.2174670091695851,40,52.5,0.00003057839756940498
272,0.21796474907062774,40,55.5,0.00003057839756940498
273,0.2184497225208738,39,32,0.00003057839756940498
274,0.218952233715759,40,53.5,0.00003057839756940498
275,0.21947284107337756,41,42.5,0.000032572032632418976
276,0.2200121171489905,42,42.5,0.000032572032632418976
277,0.2205706486350259,43,33,0.000032572032632418976
278,0.22113905434312114,42,18,0.000032572032632418976
279,0.22172721026248177,43,24.5,0.000032572032632418976
280,0.22233571722270284,44,42.5,0.000032572032632418976
281,0.22296519019054623,45,43.5,0.0000346504906970799
282,0.22361625826994086,46,38.5,0.0000346504906970799
283,0.22416632159297845,42,1,0.0000346504906970799
284,0.2246724825331291,40,48.5,0.0000346504906970799
285,0.2251967296221863,40,58,0.0000346504906970799
286,0.22574002006416194,41,34.5,0.0000346504906970799
287,0.2262494837999391,40,46,0.0000346504906970799
288,0.22672417187218685,41,43.5,0.0000346504906970799
289,0.2272073846561002,41,44,0.00003681553890925539
290,0.2276999067644443,40,27.5,0.00003681553890925539
