"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
316,0.005735448578546174,309,524,0.000036375517232017846
317,0.005807137836374708,310,403,0.000036375517232017846
318,0.005879514572850612,311,144,0.00003681553890925577
319,0.005952583184632819,312,406,0.00003725909487822897
320,0.006026231559275085,311,100,0.00003770619927610441
321,0.006100578326457604,312,248,0.00003770619927610441
322,0.006175627896976457,313,414,0.00003815686624004902
323,0.006251384695764912,314,867,0.00003815686624004902
324,0.006326816153574353,313,293,0.00003861110990722974
325,0.006402956111998413,314,383,0.000039068944414813523
326,0.006479809010107502,315,314,0.000039530383899967286
327,0.0065573793011092256,316,50,0.00003999544249985799
328,0.00663567145234832,317,321,0.00004046413435165257
329,0.00671468994530671,318,96,0.00004046413435165257
330,0.006794439275603485,319,127,0.00004046413435165257
331,0.006874923952994903,320,51,0.00004093647359251796
332,0.00695551830417125,319,277,0.00004093647359251796
333,0.007036851084344632,320,362,0.00004093647359251796
334,0.007118926817408465,321,340,0.000041412474359621125
335,0.007201750041393347,322,409,0.000041412474359621125
336,0.0072853253084670146,323,618,0.00004189215079012899
337,0.007369657184934406,324,470,0.00004189215079012899
338,0.007454750251237606,325,276,0.00004189215079012899
339,0.007540609101955863,326,259,0.000042375517021208486
340,0.007627238345805613,327,355,0.000042375517021208486
341,0.007713811858587079,326,494,0.000042375517021208486
342,0.007800027543179911,325,392,0.000042375517021208486
343,0.007887012716125534,326,449,0.00004286258719002657
344,0.00797477198614039,327,776,0.00004286258719002657
345,0.008063309976078055,328,299,0.00004335337543375017
346,0.008152631322929298,329,270,0.00004335337543375017
347,0.008242740677822028,330,221,0.00004434616269458172
348,0.008333642706021339,331,433,0.000044848189986023544
349,0.00842534208692951,332,144,0.000044848189986023544
350,0.008517843514085934,333,190,0.00004535399190103866
351,0.008611151695167218,334,455,0.000045863582576793994
352,0.008705271351987119,335,389,0.000045863582576793994
353,0.008800207220496568,336,607,0.000046376976150456505
354,0.008895964050783644,337,131,0.000047415228540170816
355,0.008992546607073612,338,168,0.000047415228540170816
356,0.009089959667728905,339,640,0.000047415228540170816
357,0.00918820802524911,340,810,0.00004794011563055648
358,0.009287296486271,341,346,0.00004794011563055648
359,0.009387229871568467,342,432,0.00004794011563055648
360,0.009488013016052633,343,274,0.00004794011563055648
361,0.009589650768771756,344,7,0.000048468862167517085
362,0.009692147992911265,345,529,0.000048468862167517085
363,0.009795509565793748,346,117,0.00004900148228821957
364,0.009899740378878965,347,389,0.00004900148228821957
365,0.010004845337763859,348,151,0.000049537990129830864
366,0.010110829362182517,349,409,0.00005007839982951793
367,0.010217697386006185,350,291,0.000050622725524447674
368,0.010324977958279339,349,167,0.00005117098135178708
369,0.010433148651350805,350,185,0.00005172318144870307
370,0.010542214413229016,351,384,0.00005172318144870307
371,0.010652180206059559,352,252,0.00005283947099993254
372,0.010763051006125198,353,417,0.00005283947099993254
373,0.010874831803845887,354,207,0.00005340358872857991
374,0.010987527603778672,355,285,0.00005340358872857991
375,0.011101143424617868,356,273,0.00005397170727547164
376,0.011215684299194877,357,368,0.00005454384077777464
377,0.011330248935993327,356,152,0.00005512000337265588
378,0.011445742994914182,357,330,0.00005512000337265588
379,0.011562171522926037,358,406,0.00005512000337265588
380,0.011679539581134669,359,180,0.00005512000337265588
381,0.011796290210358102,358,470,0.00005512000337265588
382,0.011913425905378493,357,319,0.000055700209197282285
383,0.012031502360529186,358,312,0.0000562844723888208
384,0.012150524636915933,359,215,0.0000562844723888208
385,0.012270497809781665,360,56,0.00005687280708443838
386,0.012391426968506501,361,521,0.00005687280708443838
387,0.012513317216607684,362,482,0.000057465227421301944
388,0.012634905181449123,361,273,0.000057465227421301944
389,0.012757456031087131,362,449,0.000057465227421301944
390,0.012880974883176131,363,518,0.000057465227421301944
391,0.013005466869507718,364,77,0.00005806174753657845
392,0.013129613807649569,363,117,0.00005806174753657845
393,0.01325473564717989,364,89,0.000059267143651038005
394,0.013380837534027426,365,109,0.00006048910852515262
395,0.01350792462825812,366,385,0.00006110633958999791
396,0.01363543293702163,365,111,0.00006172775525625779
397,0.013763931429451063,366,426,0.00006172775525625779
398,0.013893425279749528,367,130,0.00006172775525625779
399,0.014023919676257261,368,147,0.00006172775525625779
400,0.014155419821451711,369,248,0.00006172775525625779
401,0.01428638659725562,368,404,0.00006172775525625779
402,0.014416357223509169,367,90,0.00006235336966109918
403,0.014547329258339181,368,224,0.00006298319694168905
404,0.0146793079042231,369,420,0.00006298319694168905
405,0.014812298377775524,370,443,0.00006298319694168905
406,0.014946305909748226,371,422,0.00006361725123519431
407,0.01508133574503014,372,602,0.00006361725123519431
408,0.015217129790789194,371,208,0.00006361725123519431
409,0.015353952812600246,372,322,0.00006425554667878191
410,0.01549181006948942,373,453,0.00006489809740961882
411,0.015630706834619982,374,255,0.00006554491756487195
412,0.015770648395292325,375,362,0.00006554491756487195
413,0.015911640052944098,376,317,0.00006685142269729465
414,0.016053687123150074,377,486,0.00006685142269729465
415,0.016196794935622153,378,256,0.00006751113594879812
416,0.016340968834209466,379,245,0.00006751113594879812
417,0.016486214176898273,380,433,0.00006817517517338557
418,0.016632536335812013,381,177,0.00006951628809048023
419,0.016778817056333273,380,106,0.0000701933900573213
420,0.016925588484987632,377,488,0.0000701933900573213
421,0.017072849596830492,377,380,0.00007087487454591413
422,0.01722118998476533,378,502,0.00007156075569342568
423,0.017370614992641278,379,351,0.00007156075569342568
424,0.017521129978444575,380,247,0.00007225104763702286
425,0.01767207796917792,379,407,0.00007294576451387262
426,0.017824121211001888,380,428,0.00007294576451387262
427,0.017975338062376098,379,211,0.00007294576451387262
428,0.018127650560681628,380,179,0.00007364492046114189
429,0.018279643980773103,379,152,0.00007364492046114189
430,0.018432735606623087,380,561,0.00007364492046114189
431,0.01858693081035504,381,331,0.00007364492046114189
432,0.018742234978229553,382,667,0.00007364492046114189
433,0.018898653510644382,383,432,0.00007434852961599765
434,0.01905619182213447,384,653,0.00007434852961599765
435,0.019213954007444047,383,354,0.00007434852961599765
436,0.019372839831275492,384,326,0.00007434852961599765
437,0.019531216431997518,383,231,0.00007505660611560681
438,0.019690718395975755,384,427,0.00007505660611560681
439,0.019851351151882288,385,418,0.00007505660611560681
