"t","S [м²]","N активних","T життя [с]"
677,0.5641177286473612,8,0.5
678,0.5643007264194327,6,3.5
679,0.5645214233033474,7,2
680,0.5647696091229811,7,0.5
681,0.5650335029058826,6,34.5
682,0.5652691223549019,5,11
683,0.5654670426920781,5,8.5
684,0.5656272639174111,5,6.5
685,0.565785128948254,6,15
686,0.5659806930909399,7,26
687,0.5662202395307762,8,12
688,0.5665100514530698,9,14.5
689,0.566856412043128,10,4.5
690,0.5672656044862581,11,2.5
691,0.567699929670617,11,6.5
692,0.5681468212255901,11,5.5
693,0.5686086353456679,10,3.5
694,0.5690680932712553,10,0.5
695,0.5695840998646075,10,3.5
696,0.5701629383110313,11,5.5
697,0.5707857590546056,11,9.5
698,0.5713072634351015,9,8
699,0.5717345200359896,8,5.5
700,0.5721272191176883,8,1
701,0.572519918199387,8,4.5
702,0.5729228274572098,8,9
703,0.5732817544178825,8,8
704,0.5736909468610125,9,14.5
705,0.574118988860064,9,4
706,0.5745462454609522,8,12.5
707,0.5749365883481607,8,8.5
708,0.5753771967178267,9,11
709,0.5758610019864795,9,0.5
710,0.5763832917651388,9,7
711,0.5769071523401248,8,2.5
712,0.5773469753116275,8,1
713,0.5777522407639405,8,14.5
714,0.5781865659482994,8,3.5
715,0.5786711566151155,9,9
716,0.5789358357961806,8,1
717,0.5792240769221474,7,3
718,0.5795076056591338,7,1.5
719,0.5796238445873167,5,7.5
720,0.5797149507742707,4,6.5
721,0.5798225503226563,5,12.5
722,0.5799615657975775,6,2
723,0.580138280384342,7,8
724,0.5803228489527402,6,1.5
725,0.5805121299101191,7,9
726,0.5807328267940337,7,14
727,0.580903258195491,6,9
728,0.5810171409291836,6,3
729,0.5811687227747193,7,6.5
730,0.5813642869174052,8,10
731,0.5815739882270324,7,1
732,0.58179075812013,7,14.5
733,0.5820491541158878,8,6
734,0.5822470744530639,7,4.5
735,0.5824614881516714,8,1
736,0.5774962009626732,6,3
737,0.5776917651053589,7,6.5
738,0.5779313115451953,8,0.5
739,0.5781535792254368,5,1.5
740,0.5693115667019086,4,15
741,0.5694003166943725,4,6.5
742,0.5695141994280652,5,9.5
743,0.5696594980882937,6,3
744,0.5697985135632151,6,5.5
745,0.5699752281499795,7,6.5
746,0.57018571485777,7,8.5
747,0.5703372967033057,7,7
748,0.5704888785488414,7,4
749,0.5706844426915273,8,2.5
750,0.5708925732048277,8,3
751,0.5711509692005854,9,9.5
752,0.5684994650009558,6,8.5
753,0.5686911021528248,6,0.5
754,0.5688827393046938,5,2.5
755,0.568980128676955,4,10
756,0.5690563122988046,5,11
757,0.5691450622912686,5,13
758,0.5692652282102684,6,16
759,0.5694230932411112,7,11.5
760,0.5696249405691043,8,4
761,0.5697576728587185,7,20.5
762,0.5699343874454829,8,13.5
763,0.5701613675147047,9,5
764,0.5704315444829134,9,20.5
765,0.5707142878217365,9,10.5
766,0.5710229492999517,10,2
767,0.5713590997138859,10,7.5
768,0.5717007479149637,9,10
769,0.5720785244315579,10,2
770,0.5724775066985638,10,4
771,0.5692911463496604,9,1
772,0.5696775622460519,9,6.5
773,0.5701181706157178,10,4
774,0.5705572081890572,9,17
775,0.5683895092580801,9,2.5
776,0.5686730379950665,8,9.5
777,0.5689934804457327,8,20
778,0.5693013565257846,7,15
779,0.5695786020774638,7,4.5
780,0.5698998299262934,8,3.5
781,0.5702713232575803,9,1.5
782,0.5705674183651812,9,1
783,0.5709035687791152,8,3.5
